Station_Name,STATION_ID,Lat,Long,error_in_m,datum_period,station_datum,navd88,mhhw,mhw,mtl,msl,dtl,mlw,mllw,gt,mn
"CUTLER NAVAL BASE, MACHIAS BAY",8411250,44.6417,-67.2967,0.0057,09/01/1999 - 08/31/2009,NA,NA,11.003,10.875,8.93,8.928,8.937,6.986,6.871,4.133,3.89
CORPUS CHRISTI NAVAL AIR STATION,8775421,27.705,-97.28,0.0058,03/01/1993 - 03/31/1993; 05/01/1993 - 06/30/1996; 08/01/1996 - 12/31/2001,NA,NA,1.564,1.56,1.47,1.478,NA,1.38,1.376,NA,NA
GRAND PASS,8760668,30.1267,-89.2217,0.0059,10/01/1981 - 09/30/1988,NA,NA,1.289,1.272,1.065,1.063,1.065,0.859,0.842,0.447,0.413
BAY GARDENE,8761108,29.5983,-89.6183,0.0059,01/01/1981 - 12/31/1987,NA,NA,1.341,1.326,1.123,1.129,1.121,0.919,0.902,0.439,0.407
TACONY-PALMYRA BRIDGE,8538886,40.01194,-75.043,0.006,08/01/2002 - 07/31/2004; 08/01/2005 - 07/31/2011,NA,NA,7.474,7.361,6.357,6.404,6.385,5.353,5.295,2.179,2.008
"PORT TAMPA, OLD TAMPA BAY",8726607,27.857778,-82.552694,0.0063,01/01/1999 - 12/31/2000; 01/01/2003 - 12/31/2003; 12/01/2005 - 11/30/2008,NA,NA,9.37,9.273,9.015,9.012,8.995,8.757,8.621,0.749,0.516
"LYNCHBURG LANDING, SAN JACINTO RIVER",8770733,29.765,-95.0783,0.0063,02/01/1996 - 12/31/2001,NA,NA,1.863,1.832,1.649,1.657,NA,1.466,1.405,NA,NA
PACKERY CHANNEL,8775792,27.6333,-97.2367,0.0064,01/01/2006 - 12/31/2010,NA,NA,1.019,1.018,0.963,0.965,NA,0.909,0.908,NA,NA
"CHEF MENTEUR, CHEF MENTEUR PASS",8761487,30.065,-89.8,0.0065,01/01/1983 - 12/31/1988; 01/01/1990 - 12/31/1990,NA,NA,1.194,1.182,1.034,1.041,1.033,0.887,0.871,0.323,0.295
MESQUITE POINT,8770539,29.7667,-93.895,0.0065,09/01/1993 - 02/28/2000,NA,NA,2.164,2.14,2,2.011,NA,1.86,1.782,NA,NA
ORANGE (OLD NAVY BASE),8770597,30.0983,-93.7217,0.0065,09/01/1994 - 12/31/2001,NA,NA,1.54,1.524,1.42,1.433,NA,1.317,1.285,NA,NA
"PORT BOLIVAR, BOLIVAR ROADS",8771328,29.365,-94.78,0.0065,01/01/1996 - 12/31/2000,NA,NA,1.651,1.627,1.455,1.483,1.438,1.284,1.225,0.426,0.343
COPANO BAY STATE FISHING PIER,8774513,28.1183,-97.0217,0.0065,01/01/2006 - 12/31/2010,NA,NA,1.72,1.718,1.66,1.664,NA,1.602,1.602,NA,NA
RINCON DEL SAN JOSE,8777812,26.825,-97.4917,0.0065,02/01/1991 - 12/31/2001,NA,NA,NA,NA,NA,1.116,NA,NA,NA,NA,NA
BIRD ISLAND,8776139,27.48,-97.3217,0.0066,04/01/1993 - 12/31/2001,NA,NA,NA,NA,NA,0.595,NA,NA,NA,NA,NA
SOUTH PADRE ISLAND COAST GUARD STATION,8779748,26.0767,-97.1767,0.0066,07/01/1993 - 03/31/1998,NA,NA,1.514,1.499,1.328,1.351,NA,1.157,1.114,NA,NA
"PILOTS STATION EAST, SOUTHWEST PASS",8760922,28.9322,-89.4075,0.0067,09/01/2004 - 08/31/2008; 04/01/2010 - 03/31/2012; 11/01/2012 - 10/31/2013,NA,NA,9.621,9.618,9.441,9.442,9.44,9.265,9.259,0.362,0.353
"SAN MATEO BRIDGE, WEST SIDE",9414458,37.58,-122.253,0.0067,01/01/1981 - 12/31/1987,NA,NA,6.838,6.644,5.745,5.737,5.661,4.846,4.484,2.353,1.799
SOUTH PASS,8760551,28.99,-89.14,0.0068,12/01/1994 - 11/30/1998,NA,NA,1.586,1.582,1.4,1.399,1.399,1.218,1.212,0.374,0.364
"CALCASIEU PASS, EAST JETTY",8768094,29.768167,-93.342889,0.0068,10/01/2004 - 09/30/2008; 09/01/2009 - 08/31/2010,NA,NA,8.779,8.745,8.55,8.553,8.484,8.355,8.19,0.589,0.39
"ROUND POINT, TRINITY BAY",8770559,29.7133,-94.69,0.0068,07/01/1993 - 12/31/1998,NA,NA,0.945,0.917,0.745,0.75,NA,0.574,0.519,NA,NA
"SANDWICH MARINA, CAPE COD CANAL",8447180,41.7717,-70.5067,0.0069,01/01/1970 - 12/31/1976,NA,NA,3.047,2.899,1.567,1.601,1.607,0.236,0.167,2.881,2.663
"WINDMILL POINT, RAPPAHANNOCK RIVER",8636580,37.6162,-76.29,0.0069,06/01/1994 - 05/31/1998,NA,NA,1.113,1.073,0.896,0.903,0.901,0.719,0.689,0.424,0.353
"MANCHESTER, HOUSTON SHIP CHANNEL",8770777,29.726278,-95.265806,0.0069,06/01/1996 - 12/31/1998; 04/01/1999 - 12/31/2001,NA,NA,2.212,2.179,1.981,1.986,NA,1.783,1.708,NA,NA
"LOVE POINT PIER, KENT ISLAND",8572955,39.0317,-76.3017,0.007,06/01/1996 - 05/31/2000,NA,NA,1.874,1.787,1.606,1.608,1.617,1.425,1.36,0.513,0.362
"PASCAGOULA NOAA LAB, PASCAGOULA RIVER",8741533,30.3679,-88.563,0.0071,03/01/2007 - 02/29/2012,NA,NA,7.142,7.114,6.907,6.903,6.908,6.701,6.674,0.468,0.413
"KENT POINT, CHESAPEAKE BAY",8572467,38.8367,-76.3733,0.0072,06/01/1996 - 05/31/2000,NA,NA,3.031,2.959,2.79,2.792,2.794,2.622,2.558,0.473,0.337
"WAVELAND, MISSISSIPPI SOUND",8747766,30.2817,-89.3667,0.0072,10/01/1997 - 09/30/2002,NA,NA,8.94,8.917,8.698,8.696,8.696,8.479,8.452,0.488,0.438
"LEEVILLE, BAYOU LAFOURCHE",8762084,29.2483,-90.2117,0.0073,01/01/1987 - 12/31/1990,NA,NA,1.245,1.241,1.111,1.12,1.11,0.981,0.976,0.269,0.26
"LA PUSH, QUILLAYUTE RIVER",9442396,47.9133,-124.637,0.0073,11/01/2004 - 10/31/2009; 06/01/2010 - 05/31/2011,NA,NA,4.185,3.971,2.998,2.984,2.897,2.025,1.609,2.577,1.946
"PORT FOURCHON, BELLE PASS",8762075,29.11425,-90.19925,0.0074,10/01/2003 - 09/30/2007,NA,NA,9.393,9.39,9.206,9.214,9.205,9.021,9.016,0.377,0.369
"PORT ARTHUR, SABINE NACHES CANAL",8770475,29.8667,-93.93,0.0074,08/01/1996 - 12/31/2001,NA,NA,1.735,1.718,1.592,1.601,NA,1.466,1.417,NA,NA
"SHIP JOHN SHOAL, DELAWARE RIVER",8537121,39.305,-75.375,0.0075,05/01/2003 - 04/30/2008; 12/01/2009 - 11/30/2015,NA,NA,7.504,7.376,6.518,6.538,6.555,5.659,5.606,1.899,1.717
"LAKE CHARLES, CALCASIEU RIVER",8767816,30.223639,-93.221667,0.0075,03/01/2007 - 02/29/2008; 02/01/2009 - 01/31/2010; 09/01/2010 - 08/31/2012,NA,NA,8.482,8.452,8.29,8.294,8.268,8.129,8.055,0.427,0.323
"USCG FREEPORT, FREEPORT ENTR CHANNEL",8772447,28.943306,-95.3025,0.0075,12/01/2006 - 11/30/2010,NA,NA,8.976,8.929,8.718,8.723,8.702,8.506,8.427,0.549,0.423
"SEADRIFT, SAN ANTONIO BAY",8773037,28.4083,-96.7117,0.0075,01/01/2006 - 12/31/2010,NA,NA,0.52,0.516,0.466,0.466,NA,0.416,0.409,NA,NA
"PORT ELIZABETH, NEWARK BAY",8530882,40.6733,-74.14,0.0076,01/01/1977 - 12/31/1981,NA,NA,2.216,2.112,1.343,1.368,1.364,0.574,0.512,1.704,1.538
"BERWICK, ATCHAFALAYA RIVER, LA",8764044,29.6675,-91.237611,0.0076,12/01/2003 - 11/30/2004; 07/01/2007 - 06/30/2008; 11/01/2008 - 10/31/2012,NA,NA,6.162,6.149,6.079,6.088,6.079,6.01,5.996,0.166,0.14
POPLAR ISLAND,8572271,38.758333,-76.375,0.0077,03/01/2007 - 02/28/2010,NA,NA,0.549,0.482,0.313,0.316,0.315,0.145,0.08,0.468,0.336
TOWN POINT WHARF,8573903,39.5033,-75.9167,0.0077,01/01/1987 - 12/31/1993,NA,NA,1.701,1.605,1.274,1.267,1.293,0.943,0.884,0.817,0.662
"Garibaldi, Tillamook Bay",9437540,45.55453,-123.918944,0.0077,07/01/2006 - 06/30/2011,NA,NA,3.749,3.532,2.581,2.584,2.482,1.63,1.216,2.533,1.903
"POINT OF PINES, BAYOU CUMBEST",8740448,30.3867,-88.44,0.0079,11/01/1980 - 10/31/1984,NA,NA,1.505,1.467,1.259,1.261,1.258,1.05,1.011,0.494,0.417
"VIENNA, NANICOKE RIVER",8571773,38.48333,-75.818333,0.008,09/01/2005 - 08/31/2009,NA,NA,7.277,7.229,6.906,6.933,6.902,6.582,6.527,0.751,0.647
"LOWER MARLBORO, PATUXENT RIVER",8579542,38.655,-76.683333,0.008,05/01/2005 - 04/30/2008,NA,NA,3.207,3.165,2.887,2.897,2.881,2.609,2.556,0.651,0.556
"WELLS, WEBHANNET RIVER",8419317,43.32,-70.563306,0.0081,12/01/2005 - 11/30/2008; 12/01/2009 - 11/30/2010; 07/01/2011 - 06/30/2012,NA,NA,7.413,7.282,5.943,5.954,5.956,4.604,4.5,2.913,2.678
"SILVER EEL POND, FISHERS IS.",8510719,41.2567,-72.03,0.0081,12/01/2003 - 11/30/2006,NA,NA,3.186,3.097,2.741,2.758,2.756,2.384,2.326,0.86,0.713
"SHELL BEACH, LAKE BORGNE",8761305,29.868111,-89.67325,0.0081,07/01/2009 - 06/30/2011; 08/01/2011 - 07/31/2012,NA,NA,9.979,9.959,9.757,9.765,9.76,9.554,9.542,0.437,0.405
"LAFITTE, BARATARIA WATERWAY",8761899,29.6667,-90.1117,0.0081,01/01/1986 - 12/31/1990,NA,NA,1.025,1.025,0.976,0.979,0.975,0.926,0.926,0.098,0.099
SOUTH BAY,8779768,26.0517,-97.1817,0.0081,03/01/1991 - 12/31/1992,NA,NA,1.233,1.215,1.047,1.067,NA,0.879,0.836,NA,NA
"SMITHVILLE ROAD BRIDGE, BEAVERDAM CREEK",8571702,38.42833,-76.236667,0.0082,02/01/2006 - 01/31/2008,NA,NA,9.486,9.437,9.244,9.256,9.242,9.051,8.999,0.487,0.386
FRESHWATER CANAL LOCKS,8766072,29.555,-92.305,0.0082,04/01/2006 - 03/31/2008; 06/01/2009 - 05/01/2011,NA,NA,7.043,6.996,6.77,6.764,6.715,6.545,6.387,0.657,0.451
"LONG BEACH, CHESAPEAKE BAY",8577004,38.465,-76.4733,0.0083,11/01/1997 - 10/31/1998; 05/01/1999 - 04/30/2000,NA,NA,3.53,3.48,3.326,3.329,3.325,3.172,3.121,0.409,0.307
"WEEKS BAY, MOBILE BAY",8732828,30.4167,-87.825,0.0083,03/01/2008 - 02/28/2011,NA,NA,9.702,9.664,9.461,9.457,9.461,9.257,9.22,0.481,0.406
"RT. 433, BAYOU BONFOUCA",8761473,30.2717,-89.7933,0.0083,06/01/1983 - 05/31/1988,NA,NA,0.998,0.996,0.916,0.92,0.917,0.836,0.836,0.162,0.16
"Westport, Grays Harbor",9441102,46.90431,-124.105083,0.0083,01/01/2007 - 12/31/2009; 06/01/2010 - 05/31/2011,NA,NA,3.684,3.46,2.39,2.383,2.29,1.321,0.895,2.789,2.139
"SUNSET BEACH PIER, ATLANTIC OCEAN",8659897,33.865,-78.5067,0.0084,03/01/2005 - 02/29/2008,NA,NA,3.358,3.239,2.485,2.488,2.516,1.73,1.675,1.683,1.509
"USCG NEW CANAL STA., LAKE PONTCHARTRAIN",8761927,30.027167,-90.113417,0.0084,01/01/2006 - 12/31/2008; 07/01/2009 - 06/30/2011,NA,NA,1.458,1.457,1.379,1.38,1.381,1.301,1.305,0.153,0.156
"BATTLESHIP TEXAS S.P, HOUSTON SHIP CHANN",8770743,29.7567,-95.09,0.0084,09/01/2002 - 05/31/2004,NA,NA,3.694,3.668,3.483,3.494,NA,3.297,3.245,NA,NA
"CLAREMONT, JAMES RIVER",8638449,37.2317,-76.9483,0.0085,02/01/1971 - 01/31/1974,NA,NA,1.963,1.905,1.633,1.65,1.64,1.361,1.316,0.647,0.545
MENEMSHA HARBOR,8448725,41.354444,-70.767833,0.0086,09/01/2008 - 08/31/2010; 05/01/2011 - 04/30/2012,NA,NA,8.65,8.572,8.152,8.111,8.172,7.732,7.694,0.956,0.84
"INSIDE CHANNEL, RUDEE INLET",8639207,36.8317,-75.9733,0.0086,12/01/2005 - 11/30/2007,NA,NA,1.903,1.815,1.314,1.319,1.338,0.812,0.772,1.131,1.003
MYRTLE BEACH,8661000,33.6833,-78.885,0.0086,01/01/1975 - 12/31/1977,NA,NA,3.105,3.031,2.272,2.28,2.258,1.512,1.412,1.692,1.519
WHITE POINT BAY,8775188,27.8583,-97.475,0.0086,01/01/1998 - 04/30/2001,NA,NA,0.543,0.538,0.443,0.442,NA,0.348,0.338,NA,NA
"SOUTH JAMESPORT, GREAT PECONIC BAY",8512735,40.935,-72.5817,0.0087,05/01/2005 - 04/30/2007,NA,NA,1.429,1.339,0.907,0.919,0.925,0.475,0.422,1.007,0.864
"SOUTH CAPERS ISLAND, CAPERS CREEK",8664941,32.8567,-79.7067,0.0087,01/01/2005 - 12/31/2007,NA,NA,2.569,2.451,1.723,1.73,1.756,0.995,0.944,1.625,1.457
"BILLET BAY COMMUNITY, BILLET BAY",8761414,29.3717,-89.7517,0.0087,11/01/1985 - 10/31/1986,NA,NA,1.097,1.094,0.939,0.939,0.936,0.784,0.775,0.322,0.31
"LEASE VB #4, BAYOU DULAC",8761484,29.4567,-89.8,0.0088,09/01/1985 - 08/31/1986,NA,NA,1.028,1.027,0.871,0.873,0.868,0.714,0.708,0.32,0.313
"PORT O'CONNOR, MATAGORDA BAY",8773701,28.4517,-96.3883,0.0088,01/01/2006 - 12/31/2010,NA,NA,3.735,3.729,3.614,3.62,NA,3.5,3.491,NA,NA
"BOLINAS, BOLINAS LAGOON",9414958,37.907956,-122.678544,0.0088,07/01/2009 - 06/30/2011; 11/01/2012 - 10/31/2013,NA,NA,2.02,1.835,1.377,1.387,1.35,0.92,0.679,1.342,0.915
"EATONS NECK, HUNTINGTON BAY",8515786,40.9533,-73.4,0.0089,05/01/2004 - 04/30/2007,NA,NA,8.832,8.726,7.636,7.639,7.653,6.547,6.474,2.358,2.179
"ST. MARYS POINT, BARATARIA BAY",8761679,29.4317,-89.9383,0.0089,01/01/1986 - 12/31/1986,NA,NA,0.941,0.941,0.793,0.795,0.789,0.645,0.636,0.305,0.296
"MENDICANT ISLAND, BARATARIA BAY",8761742,29.3183,-89.98,0.0089,09/01/1985 - 08/31/1986,NA,NA,1.191,1.189,1.039,1.042,1.039,0.889,0.886,0.305,0.299
"CHENIERE CAMINADA, CAMINADA PASS",8761826,29.21,-90.04,0.0089,01/01/1987 - 12/31/1987,NA,NA,1.239,1.238,1.088,1.087,1.087,0.937,0.935,0.303,0.301
"TETTINGTON, JAMES RIVER",8638450,37.24,-76.9433,0.009,08/01/2008 - 07/31/2010,NA,NA,6.47,6.41,6.125,6.142,6.134,5.84,5.799,0.672,0.57
"PEARLINGTON, PEARL RIVER",8749704,30.24,-89.615,0.009,01/01/1983 - 12/31/1984,NA,NA,1.394,1.382,1.208,1.224,1.207,1.033,1.02,0.374,0.349
"EAST BANK 1, NORCO, BAYOU LABRANCHE",8762372,30.050333,-90.368,0.009,11/01/2003 - 10/31/2004; 05/01/2007 - 04/30/2008; 09/01/2010 - 08/31/2011,NA,NA,9.965,9.964,9.895,9.903,9.895,9.826,9.825,0.14,0.138
ARMITAGE ISLAND,9449932,48.535,-122.797,0.009,06/01/1998 - 05/31/2000,NA,NA,3.624,3.437,2.689,2.655,2.429,1.941,1.233,2.391,1.495
BAFFIN BAY,8776604,27.295,-97.405,0.0091,09/01/2016 - 09/30/2016,NA,NA,NA,NA,NA,4.128,NA,NA,NA,NA,NA
"RICHARDSON, LOPEZ ISLAND",9449982,48.4467,-122.9,0.0091,04/01/1998 - 03/31/2000,NA,NA,3.15,2.988,2.295,2.278,2.057,1.602,0.965,2.185,1.386
"ST. MARYS, ST. MARYS RIVER",8679964,30.72,-81.5483,0.0092,07/01/1976 - 06/30/1978,NA,NA,2.427,2.325,1.432,1.484,1.453,0.539,0.479,1.948,1.786
CHRISTMAS BAY,8772132,29.0417,-95.175,0.0092,08/01/1992 - 07/31/1995,NA,NA,1.439,1.426,1.318,1.324,1.314,1.21,1.19,0.249,0.217
"MORICHES COAST GUARD STATION, MORICHES B",8513388,40.7867,-72.75,0.0093,08/01/1989 - 07/31/1990,NA,NA,1.292,1.222,0.895,0.892,0.911,0.567,0.531,0.761,0.656
"WEST BANK 1, BAYOU GAUCHE",8762482,29.788556,-90.420194,0.0094,06/01/2003 - 05/31/2004; 01/01/2006 - 12/31/2006; 09/01/2008 - 08/31/2009; 11/01/2010 - 10/31/2011,NA,NA,NA,NA,NA,9.694,NA,NA,NA,NA,NA
"BOWMAN BAY, FIDALGO ISLAND",9448614,48.415,-122.652,0.0094,11/01/1973 - 10/31/1975,NA,NA,3.602,3.404,2.7,2.66,2.426,1.996,1.25,2.352,1.408
"MAYPORT, ST JOHNS RIVER",8720224,30.395,-81.4317,0.0095,04/01/1997 - 02/28/1998,NA,NA,2.04,1.957,1.264,1.279,1.284,0.572,0.527,1.513,1.385
"STATE HIGHWAY 193 BRIDGE, E. FOWL RIVER",8735523,30.443694,-88.113917,0.0095,08/01/2011 - 07/31/2016,NA,NA,4.561,4.546,4.342,4.338,4.34,4.137,4.118,0.443,0.409
"PILOT STATION, SW PASS",8760943,28.925,-89.4183,0.0095,03/01/2003 - 02/29/2004,NA,NA,4.876,4.87,4.686,4.687,4.684,4.501,4.492,0.383,0.369
"DOCK E, PORT OF PASCAGOULA",8741041,30.3477,-88.5054,0.0096,04/01/2008 - 03/31/2013,NA,NA,7.072,7.044,6.833,6.829,6.834,6.623,6.596,0.476,0.421
BANGOR,9445133,47.7483,-122.727,0.0096,02/01/2001 - 01/31/2003,NA,NA,4.205,3.934,2.821,2.809,2.518,1.708,0.831,3.374,2.226
POULSBO,9445719,47.725,-122.638,0.0096,01/01/1975 - 12/31/1976,NA,NA,5.3,5.032,3.814,3.806,3.513,2.596,1.725,3.575,2.436
"PONQUOGUE POINT, SHINNECOCK BAY",8512451,40.85,-72.5033,0.0097,07/01/1989 - 06/30/1990,NA,NA,2.393,2.315,1.889,1.886,1.909,1.464,1.426,0.967,0.851
"FORT MCHENRY MARSH, PATAPSCO RIVER",8574683,39.2617,-76.585,0.0097,05/01/2004 - 01/31/2005,NA,NA,1.762,1.67,1.496,1.499,1.509,1.323,1.257,0.505,0.346
"RICHMOND RIVER LOCKS, JAMES RIVER",8638495,37.525,-77.42,0.0097,12/01/2007 - 11/30/2009,NA,NA,0.874,0.807,0.302,0.339,0.313,-0.202,-0.248,1.123,1.011
DAUPHIN ISLAND (TEMP),8735181,30.251319,-88.079486,0.0097,06/01/2005 - 11/30/2005,NA,NA,1.255,1.25,1.066,1.058,1.067,0.882,0.878,0.377,0.368
"GALVESTON BAY ENTRANCE, NORTH JETTY",8771341,29.357333,-94.724833,0.0097,05/01/2011 - 04/30/2012,NA,NA,3.286,3.249,3.072,3.072,3.031,2.895,2.776,0.51,0.353
"BRADMOOR ISLAND, NURSE SLOUGH",9414811,38.1833,-121.923,0.0097,04/01/2004 - 08/31/2004; 10/01/2004 - 07/31/2005,NA,NA,2.89,2.73,2.089,2.101,2.054,1.447,1.218,1.672,1.283
"M.V. PETROLEUM DOCK, BAYOU ST DENIS",8761799,29.4967,-90.025,0.0098,09/01/1985 - 08/31/1986,NA,NA,0.951,0.951,0.838,0.84,0.837,0.725,0.723,0.228,0.226
"EAST TIMBALIER ISLAND, TIMBALIER BAY",8762223,29.0767,-90.285,0.0098,01/01/1987 - 12/31/1987,NA,NA,1.195,1.185,0.994,1.002,0.993,0.803,0.791,0.404,0.381
LAKE WORTH INTRACOASTAL WATERWAY,8722669,26.6133,-80.0467,0.0099,10/01/2008 - 09/30/2010,NA,NA,8.806,8.756,8.347,8.339,8.352,7.938,7.898,0.908,0.818
"TEXACO GAS EXPLORATION DOCK, BAY RAMBO",8761962,29.3617,-90.14,0.0099,02/01/1987 - 01/31/1988,NA,NA,1.437,1.437,1.327,1.333,1.327,1.218,1.217,0.22,0.219
"CLARENDON PLANTATION, WHALE BR.",8667633,32.5025,-80.7841,0.01,01/01/2009 - 12/31/2009; 11/01/2010 - 10/31/2011,NA,NA,3.219,3.11,1.885,2.063,1.909,0.661,0.599,2.62,2.449
"PORT LAVACA, LAVACA CAUSEWAY",8773259,28.64,-96.595,0.01,01/01/2006 - 12/31/2010,NA,NA,1.211,1.204,1.076,1.081,NA,0.949,0.931,NA,NA
"SAND SHOAL INLET, COBB ISLAND",8631542,37.3017,-75.7783,0.0101,10/01/1978 - 09/30/1981,NA,NA,5.577,5.476,4.866,4.858,4.892,4.257,4.208,1.369,1.219
"YAQUINA USCG STA, NEWPORT",9435385,44.6267,-124.055,0.0101,11/01/1982 - 11/30/1982,NA,NA,3.929,3.745,2.798,2.785,2.679,1.851,1.429,2.501,1.895
"MCCREADYS CREEK, FISHING BAY",8571559,38.3,-76.005,0.0102,02/01/2005 - 01/31/2007; 01/01/2009 - 12/31/2009,NA,NA,2.78,2.729,2.409,2.408,2.416,2.09,2.051,0.729,0.638
"SOUTH ASHLEY BRIDGE, ASHLEY RIVER",8665495,32.7833,-79.9567,0.0102,07/01/1976 - 04/30/1977,NA,NA,2.123,2.014,1.208,1.251,1.233,0.402,0.343,1.779,1.612
CYPREMORT POINT,8765251,29.713361,-91.88,0.0102,08/01/2006 - 07/31/2008; 09/01/2009 - 08/31/2010,NA,NA,7.864,7.822,7.62,7.62,7.605,7.418,7.346,0.518,0.403
"NUT ISLAND, QUINCY BAY",8444525,42.28,-70.9533,0.0103,09/01/2000 - 10/31/2001,NA,NA,7.665,7.528,6.092,6.126,6.108,4.656,4.552,3.113,2.872
"U.S. COAST GUARD STATION, LAKE MONTAUK",8510448,41.0733,-71.935,0.0103,10/01/1998 - 07/31/1999,NA,NA,1.001,0.914,0.609,0.608,0.626,0.303,0.251,0.75,0.612
"GOLDEN MEADOW, PLAISANCE CANAL",8762184,29.3733,-90.265,0.0104,11/01/1986 - 10/31/1987,NA,NA,1.114,1.113,1.029,1.036,1.028,0.944,0.943,0.171,0.169
"EAST END, PASS MANCHAC",8762273,30.2967,-90.3117,0.0104,01/01/1983 - 12/31/1987,NA,NA,1.417,1.416,1.34,1.342,1.34,1.263,1.263,0.153,0.153
"CRUMPTON, CHESTER RIVER",8573349,39.245,-75.925,0.0106,05/01/2005 - 04/30/2008,NA,NA,4.152,4.059,3.722,3.73,3.732,3.385,3.311,0.841,0.674
"TCHEFUNCTA RIVER, LAKE PONT",8761993,30.3783,-90.16,0.0106,06/01/1983 - 05/31/1988,NA,NA,1.037,1.036,0.948,0.952,0.951,0.86,0.864,0.173,0.176
"CUT 1N FRONT RANGE, ST MARYS RIVER ENTR",8720011,30.7083,-81.465,0.0107,01/01/1998 - 04/30/1998,NA,NA,0.797,0.692,-0.215,-0.208,-0.193,-1.124,-1.184,1.982,1.817
"MELTON NELSON MEM PK, VAUGHNS LDG",8720059,30.63,-81.5767,0.0108,09/01/2008 - 08/31/2009; 02/01/2010 - 01/31/2011,NA,NA,9.527,9.496,9.096,9.17,9.07,8.696,8.612,0.915,0.8
"HURRICANE BAY, SAN CARLOS ISLAND",8725368,26.46,-81.94,0.0108,06/01/1973 - 06/30/1973,NA,NA,1.319,1.231,0.955,0.966,0.922,0.679,0.525,0.794,0.553
"QUEEN ISABELLA CAUSEWAY, PADRE ISLAND",8779724,26.0783,-97.17,0.0108,05/01/1977 - 04/30/1978,NA,NA,0.739,0.723,0.554,0.579,0.543,0.386,0.348,0.391,0.337
"ANGEL ISLAND, EAST GARRISON, S.F. BAY",9414818,37.8633,-122.42,0.0108,05/01/1980 - 11/30/1980,NA,NA,3.304,3.121,2.486,2.477,2.404,1.851,1.505,1.799,1.27
"PAWTUXET COVE, PROVIDENCE RIVER",8453767,41.7617,-71.3883,0.011,06/01/1994 - 09/30/1994,NA,NA,2.139,2.063,1.4,1.353,1.411,0.737,0.683,1.456,1.325
"BLACK ROCK HARBOR, CEDAR CREEK",8467373,41.1567,-73.2133,0.011,07/01/2003 - 09/30/2003,NA,NA,4.425,4.322,3.293,3.295,3.306,2.264,2.188,2.237,2.058
Bulk Terminal #1,8767961,30.190306,-93.300694,0.011,09/01/2010 - 08/31/2016,NA,NA,7.458,7.43,7.274,7.279,7.255,7.118,7.052,0.406,0.312
"RUMFORD, SEEKONK RIVER",8453433,41.84,-71.3733,0.0111,06/01/1994 - 09/30/1994,NA,NA,2.616,2.542,1.832,1.788,1.841,1.122,1.066,1.549,1.42
"BEAUFORT, TAYLOR CREEK",8656518,34.7117,-76.645,0.0111,05/01/1996 - 08/31/1996,NA,NA,2.887,2.81,2.38,2.391,2.397,1.951,1.908,0.979,0.859
"TEXAS GAS PLATFORM, CAILLOU BAY",8763535,29.174778,-90.976444,0.0111,06/01/2010 - 05/31/2011,NA,NA,7.21,7.177,6.975,6.99,6.963,6.774,6.717,0.494,0.403
"GALVESTON BAY ENTRANCE, SOUTH JETTY",8771416,29.3267,-94.6933,0.0111,05/01/1997 - 04/30/1998,NA,NA,2.948,2.887,2.654,2.651,2.621,2.421,2.295,0.653,0.466
PORT ARANSAS,8775237,27.8383,-97.0733,0.0111,01/01/2006 - 12/31/2010,NA,NA,1.755,1.744,1.612,1.639,NA,1.479,1.44,NA,NA
"FORE RIVER, PORTLAND",8418268,43.6417,-70.285,0.0112,09/01/1979 - 10/31/1979,NA,NA,3.839,3.704,2.308,2.315,2.322,0.911,0.805,3.034,2.792
"DUNGENESS, SEACAMP DOCK",8679758,30.7633,-81.4717,0.0112,01/01/1979 - 12/31/1979,NA,NA,2.448,2.34,1.391,1.425,1.414,0.441,0.381,2.067,1.899
HAMILTON AIR FORCE BASE INSIDE GAUGE,9415126,38.0483,-122.498,0.0112,02/04/2000 - 02/04/2001,NA,NA,1.122,0.948,NA,NA,NA,NA,NA,NA,NA
"PIERCE HARBOR,GOODYEAR SLOUGH",9415266,38.1267,-122.1,0.0112,06/01/1977 - 05/31/1978,NA,NA,4.224,4.077,3.51,3.511,3.475,2.943,2.726,1.498,1.133
"GREAT DIAMOND IS., CASCO BAY",8417988,43.67,-70.2,0.0113,09/01/1979 - 09/30/1979,NA,NA,3.505,3.374,1.99,2.001,2.002,0.606,0.499,3.007,2.767
"BOSTON LIGHT, BOSTON HARBOR",8444162,42.3283,-70.8917,0.0113,07/01/2001 - 06/30/2002,NA,NA,5.243,5.109,3.73,3.749,3.747,2.351,2.251,2.992,2.759
"CHELSEA ST. BRIDGE, CHELSEA RIVER",8443725,42.3867,-71.0233,0.0114,07/01/2002 - 09/30/2002,NA,NA,7.336,7.2,5.743,5.779,5.758,4.285,4.181,3.155,2.915
"ALAMEDA NAS, NAVY FUEL PIER",9414767,37.7933,-122.315,0.0114,08/01/1994 - 08/31/1994,NA,NA,3.364,3.175,2.467,2.44,2.388,1.759,1.412,1.951,1.417
"AMELIA EARHART DAM, MYSTIC RIVER",8443662,42.395,-71.0767,0.0116,09/01/1994 - 09/30/1994,NA,NA,4.377,4.243,2.786,2.825,2.802,1.329,1.227,3.15,2.913
"MOREHEAD-BEAUFORT Y.C., NEWPORT RIVER",8656306,34.7683,-76.6717,0.0116,05/01/1996 - 08/31/1996,NA,NA,1.377,1.289,0.819,0.817,0.844,0.35,0.312,1.065,0.939
